year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2011,Thor,Par.,"$181,030,624",3963,"$65,723,338",3955,5/6
2011,Rise of the Planet of the Apes,Fox,"$176,760,185",3691,"$54,806,191",3648,8/5
2011,Captain America: The First Avenger,Par.,"$176,654,505",3715,"$65,058,524",3715,7/22
2011,The Help,BV,"$169,708,112",3014,"$26,044,590",2534,8/10
2011,Bridesmaids,Uni.,"$169,106,725",2958,"$26,247,410",2918,5/13
2011,Kung Fu Panda 2,P/DW,"$165,249,063",3952,"$47,656,302",3925,5/26
2011,Puss in Boots,P/DW,"$149,260,504",3963,"$34,077,439",3952,10/28
2011,X-Men: First Class,Fox,"$146,408,305",3692,"$55,101,604",3641,6/3
2011,Rio,Fox,"$143,619,809",3842,"$39,225,962",3826,4/15
2011,The Smurfs,Sony,"$142,614,158",3427,"$35,611,637",3395,7/29
2011,Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742",3734,"$23,244,744",3723,12/16
2011,Super 8,Par.,"$127,004,179",3424,"$35,451,168",3379,6/10
2011,Rango,Par.,"$123,477,607",3923,"$38,079,323",3917,3/4
2011,Horrible Bosses,WB (NL),"$117,538,559",3134,"$28,302,165",3040,7/8
2011,Green Lantern,WB,"$116,601,172",3816,"$53,174,303",3816,6/17
2011,Hop,Uni.,"$108,085,305",3616,"$37,543,710",3579,4/1
2011,Paranormal Activity 3,Par.,"$104,028,807",3329,"$52,568,183",3321,10/21
2011,Just Go With It,Sony,"$103,028,109",3548,"$30,514,732",3548,2/11
2011,The Girl with the Dragon Tattoo (2011),Sony,"$102,515,793",2950,"$12,768,604",2914,12/21
2011,Bad Teacher,Sony,"$100,292,856",3049,"$31,603,106",3049,6/24
2011,Cowboys & Aliens,Uni.,"$100,240,551",3754,"$36,431,290",3750,7/29
2011,Gnomeo and Juliet,BV,"$99,967,670",3037,"$25,356,909",2994,2/11
2011,The Green Hornet,Sony,"$98,780,042",3584,"$33,526,876",3584,1/14
2011,The Lion King (in 3D),BV,"$94,242,001",2340,"$30,151,614",2330,9/16
2011,The Muppets,BV,"$88,631,237",3440,"$29,239,026",3440,11/23
2011,Real Steel,BV,"$85,468,508",3440,"$27,319,677",3440,10/7
2011,"Crazy, Stupid, Love.",WB,"$84,351,197",3020,"$19,104,303",3020,7/29
2011,Battle: Los Angeles,Sony,"$83,552,429",3417,"$35,573,187",3417,3/11
2011,Immortals,Rela.,"$83,504,017",3120,"$32,206,425",3112,11/11
2011,The Descendants,FoxS,"$82,584,160",2038,"$1,190,096",29,11/16
2011,Zookeeper,Sony,"$80,360,843",3482,"$20,065,617",3482,7/8
2011,War Horse,BV,"$79,884,879",2856,"$7,515,402",2376,12/25
2011,Limitless,Rela.,"$79,249,455",2838,"$18,907,302",2756,3/18
2011,Tower Heist,Uni.,"$78,046,570",3370,"$24,025,190",3367,11/4
2011,The Adventures of Tintin,Par.,"$77,591,831",3087,"$9,720,993",3087,12/21
2011,Contagion,WB,"$75,658,097",3222,"$22,403,596",3222,9/9
2011,We Bought a Zoo,Fox,"$75,624,550",3170,"$9,360,434",3117,12/23
2011,Moneyball,Sony,"$75,605,492",3018,"$19,501,302",2993,9/23
2011,Jack and Jill,Sony,"$74,158,157",3438,"$25,003,575",3438,11/11
2011,Hugo,Par.,"$73,864,507",2608,"$11,364,505",1277,11/23
2011,Justin Bieber: Never Say Never,Par.,"$73,013,910",3118,"$29,514,054",3105,2/11
2011,Dolphin Tale,WB,"$72,286,779",3515,"$19,152,401",3507,9/23
2011,No Strings Attached,Par.,"$70,662,220",3050,"$19,652,921",3018,1/21
2011,Mr. Popper's Penguins,Fox,"$68,224,452",3342,"$18,445,355",3339,6/17
2011,Happy Feet Two,WB,"$64,006,466",3611,"$21,237,068",3606,11/18
2011,Unknown,WB,"$63,686,397",3043,"$21,856,389",3043,2/18
2011,The Adjustment Bureau,Uni.,"$62,495,645",2847,"$21,157,730",2840,3/4
2011,Water for Elephants,Fox,"$58,709,717",2820,"$16,842,353",2817,4/22
2011,The Lincoln Lawyer,LGF,"$58,009,200",2707,"$13,206,453",2707,3/18
2011,Midnight in Paris,SPC,"$56,817,045",1038,"$599,003",6,5/20
2011,Friends with Benefits,SGem,"$55,802,754",2926,"$18,622,150",2926,7/22
2011,I Am Number Four,BV,"$55,100,437",3156,"$19,449,893",3154,2/18
2011,Source Code,Sum.,"$54,712,227",2971,"$14,812,094",2961,4/1
2011,New Year's Eve,WB (NL),"$54,544,638",3505,"$13,019,180",3505,12/9
2011,Insidious,FD,"$54,009,150",2419,"$13,271,464",2408,4/1
2011,Tyler Perry's Madea's Big Happy Family,LGF,"$53,345,287",2288,"$25,068,677",2288,4/22
2011,Diary of a Wimpy Kid: Rodrick Rules,Fox,"$52,698,535",3169,"$23,751,502",3167,3/25
2011,Footloose (2011),Par.,"$51,802,742",3555,"$15,556,113",3549,10/14
2011,The Dilemma,Uni.,"$48,475,290",2943,"$17,816,230",2940,1/14
2011,Arthur Christmas,Sony,"$46,462,469",3376,"$12,068,931",3376,11/23
2011,Hall Pass,WB (NL),"$45,060,734",2950,"$13,535,374",2950,2/25
2011,The Artist,Wein.,"$44,671,682",1756,"$204,878",4,11/25
2011,Soul Surfer,TriS,"$43,853,424",2240,"$10,601,862",2214,4/8
2011,Final Destination 5,WB (NL),"$42,587,643",3155,"$18,031,396",3155,8/12
2011,The Ides of March,Sony,"$40,962,534",2199,"$10,470,143",2199,10/7
2011,Hanna,Focus,"$40,259,119",2545,"$12,370,549",2535,4/8
2011,Something Borrowed,WB,"$39,046,489",2904,"$13,945,368",2904,5/6
2011,Spy Kids: All the Time in the World,W/Dim.,"$38,538,188",3305,"$11,644,672",3295,8/19
2011,Scream 4,W/Dim.,"$38,180,928",3314,"$18,692,090",3305,4/15
2011,"Big Mommas: Like Father, Like Son",Fox,"$37,915,414",2821,"$16,300,803",2821,2/18
2011,Red Riding Hood,WB,"$37,662,162",3030,"$14,005,335",3030,3/11
2011,In Time,Fox,"$37,520,095",3127,"$12,050,368",3122,10/28
2011,Paul,Uni.,"$37,412,945",2806,"$13,043,310",2802,3/18
2011,J. Edgar,WB,"$37,306,030",1985,"$11,217,324",1910,11/9
2011,The Roommate,SGem,"$37,300,107",2534,"$15,002,635",2534,2/4
2011,Jumping the Broom,TriS,"$37,295,394",2035,"$15,215,487",2035,5/6
2011,The Change-Up,Uni.,"$37,081,475",2913,"$13,531,115",2913,8/5
2011,30 Minutes or Less,Sony,"$37,053,924",2888,"$13,330,118",2888,8/12
2011,Colombiana,TriS,"$36,665,854",2614,"$10,408,176",2614,8/26
2011,Sucker Punch,WB,"$36,392,502",3033,"$19,058,199",3033,3/25
2011,Larry Crowne,Uni.,"$35,608,245",2976,"$13,096,065",2973,7/1
2011,A Very Harold & Kumar 3D Christmas,WB,"$35,061,031",2875,"$12,954,142",2875,11/4
2011,Drive (2011),FD,"$35,060,689",2904,"$11,340,461",2886,9/16
2011,50/50,Sum.,"$35,014,192",2479,"$8,644,095",2458,9/30
2011,Courageous,TriS,"$34,522,221",1214,"$9,112,839",1161,9/30
2011,The Rite,WB (NL),"$33,047,633",2985,"$14,789,393",2985,1/28
2011,Arthur (2011),WB,"$33,035,397",3276,"$12,222,756",3276,4/8
2011,Extremely Loud & Incredibly Close,WB,"$31,847,881",2630,"$72,348",6,12/25
2011,The Debt,Focus,"$31,177,548",1874,"$9,909,499",1826,8/31
2011,The Sitter,Fox,"$30,441,326",2752,"$9,851,435",2750,12/9
2011,The Iron Lady,Wein.,"$30,017,992",1244,"$220,409",4,12/30
2010,Toy Story 3,BV,"$415,004,880",4028,"$110,307,189",4028,6/18
2010,Alice in Wonderland (2010),BV,"$334,191,110",3739,"$116,101,023",3728,3/5
2010,Iron Man 2,Par.,"$312,433,331",4390,"$128,122,480",4380,5/7
2010,The Twilight Saga: Eclipse,Sum.,"$300,531,751",4468,"$64,832,191",4468,6/30
