,index,title,score
571,0,Big Hero 6,74
572,0,American Sniper,72
573,0,The Angry Birds Movie,43
574,0,The First Purge,54
575,0,Ride Along 2,32
576,0,Night at the Museum: Secret of the Tomb,47
577,0,A Million Ways to Die in the West,44
578,0,Think Like a Man Too,38
579,0,Star Wars: Episode VIII - The Last Jedi,85
580,0,The Lazarus Effect,31
581,0,22 Jump Street,71
582,0,Star Trek Beyond,68
583,0,Let's Be Cops,30
584,0,Lone Survivor,60
585,0,Brooklyn,88
586,0,Entourage,38
587,0,3 Days to Kill,40
588,0,Suicide Squad,40
589,0,Maze Runner: The Death Cure,50
590,0,Nerve,58
591,0,In the Heart of the Sea,47
592,0,Draft Day,54
593,0,Gods of Egypt,25
594,0,The Imitation Game,73
595,0,Million Dollar Arm,56
596,0,Chappie,41
597,0,Gone Girl,79
598,0,Philomena,77
599,0,Fifty Shades of Grey,46
600,0,Jackass Presents: Bad Grandpa,54
601,0,Batman v Superman: Dawn of Justice,44
602,0,Crimson Peak,66
603,0,Jersey Boys,54
604,0,Southpaw,57
605,0,Fist Fight,37
606,0,That Awkward Moment,36
607,0,Planes: Fire & Rescue,48
608,0,Ted 2,48
609,0,Birdman or (The Unexpected Virtue of Ignorance),87
610,0,Aloha,40
611,0,Minions,56
612,0,Chef,68
613,0,The Giver,47
614,0,Sausage Party,66
615,0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",54
616,0,Non-Stop,56
617,0,Dolphin Tale 2,58
618,0,Tammy,39
619,0,Sex Tape,36
620,0,Horrible Bosses 2,40
621,0,Unbroken,59
622,0,Paranormal Activity: The Marked Ones,42
623,0,Us,81
624,0,Project Almanac,47
625,0,A Walk in the Woods,51
626,0,The Nut Job 2: Nutty by Nature,36
627,0,The Hundred-Foot Journey,55
628,0,The Longest Ride,33
629,0,When the Game Stands Tall,41
630,0,The SpongeBob Movie: Sponge Out of Water,62
631,0,Blended,31
632,0,Heaven Is for Real,47
633,0,Son of God,37
634,0,Searching,71
635,0,The Purge: Anarchy,50
636,0,Run All Night,59
637,0,Lights Out,58
638,0,St. Vincent,64
639,0,Nightcrawler,76
640,0,The Best of Me,29
641,0,Earth to Echo,53
642,0,John Wick,68
643,0,Hitman: Agent 47,28
644,0,The Catcher Was a Spy,49
645,0,The Peanuts Movie,67
646,0,Arrival,81
647,0,Alpha,63
648,0,The Wedding Ringer,35
649,0,Paul Blart: Mall Cop 2,13
650,0,Annabelle: Creation,62
651,0,War Dogs,57
652,0,The Mule,57
653,0,X-Men: Apocalypse,52
654,0,Pitch Perfect 2,63
655,0,San Andreas,43
656,0,How to Be Single,51
657,0,Get Hard,34
658,0,God's Not Dead: A Light in Darkness,33
659,0,The Theory of Everything,72
660,0,The Conjuring 2,65
661,0,Goosebumps,60
662,0,Ralph Breaks the Internet,71
663,0,Magic Mike XXL,60
664,0,Cars 3,59
665,0,Incredibles 2,80
666,0,London Has Fallen,28
667,0,Zootopia,78
668,0,The Legend of Tarzan,44
669,0,Ex Machina,78
670,0,Ad Astra,80
671,0,If I Stay,46
672,0,The Hateful Eight,68
673,0,Selma,87
674,0,"Hail, Caesar!",72
675,0,Penguins of Madagascar,53
676,0,The Second Best Exotic Marigold Hotel,51
677,0,Captain Underpants: The First Epic Movie,69
678,0,Trainwreck,75
679,0,Captain America: Civil War,75
680,0,The Last Witch Hunter,34
681,0,The DUFF,56
682,0,Ricki and the Flash,54
683,0,Geostorm,21
684,0,Daddy's Home 2,30
685,0,Gifted,60
686,0,Unfriended: Dark Web,53
687,0,Krampus,49
688,0,Don't Breathe,71
689,0,Sinister 2,32
690,0,Paper Towns,56
691,0,Thor: Ragnarok,74
692,0,The Nice Guys,70
693,0,Now You See Me 2,46
694,0,Guardians of the Galaxy Vol. 2,67
695,0,The Mountain Between Us,48
696,0,Miss Peregrine's Home for Peculiar Children,57
697,0,The Martian,80
698,0,Maze Runner: The Scorch Trials,43
699,0,Ice Age: Collision Course,34
700,0,King Arthur: Legend of the Sword,41
701,0,Dirty Grandpa,21
702,0,War for the Planet of the Apes,82
703,0,Bridge of Spies,81
704,0,Widows,84
705,0,Me Before You,51
706,0,Shazam!,71
707,0,The Bye Bye Man,37
708,0,Once Upon a Deadpool,53
709,0,Avengers: Endgame,78
710,0,Avengers: Infinity War,68
711,0,The 5th Wave,33
712,0,My Big Fat Greek Wedding 2,37
713,0,Kong: Skull Island,62
714,0,Toy Story 4,84
715,0,The Huntsman: Winter's War,35
716,0,The Age of Adaline,51
717,0,The Perfect Guy,36
718,0,Deepwater Horizon,68
